aoi,acquisition_date,merra2_duexttau_550,cams_total_aod_550,merra2_n_images_used,cams_n_images_used,merra2_window_min_utc,merra2_window_max_utc,cams_window_min_utc,cams_window_max_utc
qiddiya_core,2023-04-30,0.077845,0.359449,2,20,2023-04-30T07:00,2023-04-30T08:00,2023-04-30T06:00,2023-04-30T09:00
qiddiya_core,2023-05-05,0.532863,0.486015,2,20,2023-05-05T07:00,2023-05-05T08:00,2023-05-05T06:00,2023-05-05T09:00
qiddiya_core,2023-06-24,0.301333,0.432774,2,20,2023-06-24T07:00,2023-06-24T08:00,2023-06-24T06:00,2023-06-24T09:00
qiddiya_core,2023-07-09,0.171189,0.302378,2,20,2023-07-09T07:00,2023-07-09T08:00,2023-07-09T06:00,2023-07-09T09:00
qiddiya_core,2023-08-18,0.521898,0.525337,2,20,2023-08-18T07:00,2023-08-18T08:00,2023-08-18T06:00,2023-08-18T09:00
qiddiya_core,2023-09-12,0.308371,0.386603,2,20,2023-09-12T07:00,2023-09-12T08:00,2023-09-12T06:00,2023-09-12T09:00
qiddiya_core,2023-10-02,0.155674,0.229497,2,20,2023-10-02T07:00,2023-10-02T08:00,2023-10-02T06:00,2023-10-02T09:00
qiddiya_core,2023-11-21,0.182210,0.288828,2,20,2023-11-21T07:00,2023-11-21T08:00,2023-11-21T06:00,2023-11-21T09:00
qiddiya_core,2023-12-01,0.190685,0.293952,2,20,2023-12-01T07:00,2023-12-01T08:00,2023-12-01T06:00,2023-12-01T09:00
qiddiya_core,2024-01-05,0.142500,0.457715,2,20,2024-01-05T07:00,2024-01-05T08:00,2024-01-05T06:00,2024-01-05T09:00
qiddiya_core,2024-02-29,0.137357,0.418694,2,20,2024-02-29T07:00,2024-02-29T08:00,2024-02-29T06:00,2024-02-29T09:00
qiddiya_core,2024-03-10,0.470871,0.492440,2,20,2024-03-10T07:00,2024-03-10T08:00,2024-03-10T06:00,2024-03-10T09:00
qiddiya_core,2024-04-24,0.268462,0.416753,2,20,2024-04-24T07:00,2024-04-24T08:00,2024-04-24T06:00,2024-04-24T09:00
qiddiya_core,2024-05-04,0.114060,0.563684,2,20,2024-05-04T07:00,2024-05-04T08:00,2024-05-04T06:00,2024-05-04T09:00
qiddiya_core,2024-06-23,0.280423,0.395590,2,20,2024-06-23T07:00,2024-06-23T08:00,2024-06-23T06:00,2024-06-23T09:00
qiddiya_core,2024-07-08,0.146064,0.340649,2,20,2024-07-08T07:00,2024-07-08T08:00,2024-07-08T06:00,2024-07-08T09:00
qiddiya_core,2024-08-02,0.183274,0.449966,2,20,2024-08-02T07:00,2024-08-02T08:00,2024-08-02T06:00,2024-08-02T09:00
qiddiya_core,2024-09-16,0.145093,0.432607,2,20,2024-09-16T07:00,2024-09-16T08:00,2024-09-16T06:00,2024-09-16T09:00
qiddiya_core,2024-10-01,0.246353,0.623456,2,20,2024-10-01T07:00,2024-10-01T08:00,2024-10-01T06:00,2024-10-01T09:00
qiddiya_core,2024-11-05,0.115229,0.123410,2,20,2024-11-05T07:00,2024-11-05T08:00,2024-11-05T06:00,2024-11-05T09:00
qiddiya_core,2024-12-15,0.143280,0.478359,2,20,2024-12-15T07:00,2024-12-15T08:00,2024-12-15T06:00,2024-12-15T09:00
qiddiya_core,2025-01-19,0.133967,0.375862,2,20,2025-01-19T07:00,2025-01-19T08:00,2025-01-19T06:00,2025-01-19T09:00
qiddiya_core,2025-02-08,0.083333,0.477495,2,20,2025-02-08T07:00,2025-02-08T08:00,2025-02-08T06:00,2025-02-08T09:00
qiddiya_core,2025-03-30,0.155881,0.391896,2,20,2025-03-30T07:00,2025-03-30T08:00,2025-03-30T06:00,2025-03-30T09:00
qiddiya_core,2025-04-09,0.390343,0.498915,2,20,2025-04-09T07:00,2025-04-09T08:00,2025-04-09T06:00,2025-04-09T09:00
qiddiya_core,2025-05-09,0.472721,0.874507,2,20,2025-05-09T07:00,2025-05-09T08:00,2025-05-09T06:00,2025-05-09T09:00
qiddiya_core,2025-06-05,0.425025,0.635260,2,20,2025-06-05T07:00,2025-06-05T08:00,2025-06-05T06:00,2025-06-05T09:00
qiddiya_core,2025-07-03,0.320110,0.558585,2,18,2025-07-03T07:00,2025-07-03T08:00,2025-07-03T06:00,2025-07-03T09:00
qiddiya_core,2025-08-04,0.333219,0.644980,2,20,2025-08-04T07:00,2025-08-04T08:00,2025-08-04T06:00,2025-08-04T09:00
