id,date,cloud_cover,tile_id,geometry_type,geometry_coords_count
S2B_MSIL2A_20210328T071619_N0500_R006_T38RPN_20230515T182041.SAFE,2021-03-28T07:32:57.551Z,0.07,,,0
S2B_MSIL2A_20210331T072619_N0500_R049_T38RPN_20230601T124830.SAFE,2021-03-31T07:42:52.69Z,0.0,,,0
S2A_MSIL2A_20210402T071611_N0500_R006_T38RPN_20230523T081406.SAFE,2021-04-02T07:32:55.893Z,2.36,,,0
S2A_MSIL2A_20210405T072611_N0500_R049_T38RPN_20230510T233548.SAFE,2021-04-05T07:42:50.698Z,3.89,,,0
S2B_MSIL2A_20210407T071619_N0500_R006_T38RPN_20230510T092612.SAFE,2021-04-07T07:32:56.255Z,0.01,,,0
S2B_MSIL2A_20210410T072609_N0500_R049_T38RPN_20230526T003541.SAFE,2021-04-10T07:42:51.205Z,56.02,,,0
S2A_MSIL2A_20210412T071611_N0500_R006_T38RPN_20230513T235937.SAFE,2021-04-12T07:32:53.653Z,0.32,,,0
S2A_MSIL2A_20210415T072611_N0500_R049_T38RPN_20230523T083528.SAFE,2021-04-15T07:42:48.273Z,34.69,,,0
S2B_MSIL2A_20210417T071609_N0500_R006_T38RPN_20230517T004703.SAFE,2021-04-17T07:32:54.395Z,99.99,,,0
S2B_MSIL2A_20210420T072609_N0500_R049_T38RPN_20230523T101002.SAFE,2021-04-20T07:42:49.124Z,0.0,,,0
S2A_MSIL2A_20210422T071611_N0500_R006_T38RPN_20230523T090637.SAFE,2021-04-22T07:32:54.647Z,1.64,,,0
S2A_MSIL2A_20210425T072611_N0500_R049_T38RPN_20230718T034743.SAFE,2021-04-25T07:42:50.812Z,0.19,,,0
S2B_MSIL2A_20210427T071609_N0500_R006_T38RPN_20230605T060949.SAFE,2021-04-27T07:32:54.123Z,13.1,,,0
S2B_MSIL2A_20210430T072609_N0500_R049_T38RPN_20230311T182733.SAFE,2021-04-30T07:42:50.216Z,0.0,,,0
S2A_MSIL2A_20210502T071621_N0500_R006_T38RPN_20230603T041135.SAFE,2021-05-02T07:32:56.858Z,0.29,,,0
S2A_MSIL2A_20210505T072611_N0500_R049_T38RPN_20230313T130318.SAFE,2021-05-05T07:42:52.833Z,0.0,,,0
S2B_MSIL2A_20210507T071619_N0500_R006_T38RPN_20230227T025041.SAFE,2021-05-07T07:32:56.498Z,0.0,,,0
S2B_MSIL2A_20210510T072619_N0500_R049_T38RPN_20230228T080509.SAFE,2021-05-10T07:42:52.594Z,0.0,,,0
S2A_MSIL2A_20210512T071621_N0500_R006_T38RPN_20230313T115437.SAFE,2021-05-12T07:32:58.454Z,0.31,,,0
S2A_MSIL2A_20210515T072621_N0500_R049_T38RPN_20230306T004336.SAFE,2021-05-15T07:42:54.272Z,19.4,,,0
S2B_MSIL2A_20210517T071619_N0500_R006_T38RPN_20230223T120532.SAFE,2021-05-17T07:32:58.279Z,0.0,,,0
S2B_MSIL2A_20210520T072619_N0500_R049_T38RPN_20230224T121853.SAFE,2021-05-20T07:42:54.17Z,14.19,,,0
S2A_MSIL2A_20210522T071621_N0500_R006_T38RPN_20230225T045952.SAFE,2021-05-22T07:32:59.413Z,0.22,,,0
S2A_MSIL2A_20210525T072621_N0500_R049_T38RPN_20230226T140342.SAFE,2021-05-25T07:42:55.048Z,2.52,,,0
S2B_MSIL2A_20210527T071619_N0500_R006_T38RPN_20230227T002133.SAFE,2021-05-27T07:32:59.414Z,0.0,,,0
S2B_MSIL2A_20210530T072619_N0500_R049_T38RPN_20230327T225608.SAFE,2021-05-30T07:42:55.12Z,0.0,,,0
