date,roi_name,mean_ndvi,median_ndvi,valid_pixel_count,ndvi_climatology,ndvi_anomaly
2024-06-15,central_urban,0.079051,0.064173,84057,0.079200,-0.000149
2024-07-15,wadi_hanifa,0.082634,0.060677,299330,0.085732,-0.003098
2024-07-15,king_salman_park,0.057354,0.054772,94335,0.059921,-0.002567
2024-07-15,northern_expansion,0.063155,0.052621,141932,0.065528,-0.002373
2024-07-15,central_urban,0.066804,0.056751,84057,0.097055,-0.030251
2024-08-15,wadi_hanifa,0.079766,0.056993,299330,0.082803,-0.003037
2024-08-15,king_salman_park,0.054403,0.052576,94335,0.055552,-0.001149
2024-08-15,northern_expansion,0.060047,0.050440,141932,0.061313,-0.001266
2024-08-15,central_urban,0.063439,0.053711,84057,0.067635,-0.004196
2024-09-15,wadi_hanifa,0.081074,0.055562,299330,0.087138,-0.006064
2024-09-15,king_salman_park,0.053730,0.050317,94334,0.059884,-0.006154
2024-09-15,northern_expansion,0.060439,0.048374,141932,0.065290,-0.004851
2024-09-15,central_urban,0.062825,0.052719,84057,0.070272,-0.007447
2024-10-15,wadi_hanifa,0.089485,0.058744,299329,0.091623,-0.002138
2024-10-15,king_salman_park,0.057107,0.052160,94335,0.061016,-0.003909
2024-10-15,northern_expansion,0.066085,0.051001,141932,0.068363,-0.002278
2024-10-15,central_urban,0.073030,0.059309,84056,0.075832,-0.002802
2024-11-15,wadi_hanifa,0.090294,0.069156,299330,0.094196,-0.003902
2024-11-15,king_salman_park,0.058453,0.058974,94335,0.061031,-0.002578
2024-11-15,northern_expansion,0.067282,0.059717,141932,0.069161,-0.001879
2024-11-15,central_urban,0.070707,0.065360,84057,0.076047,-0.005340
2024-12-15,wadi_hanifa,0.097134,0.078729,299330,0.096465,0.000669
2024-12-15,king_salman_park,0.066986,0.067804,94335,0.063434,0.003552
2024-12-15,northern_expansion,0.073562,0.067031,141932,0.070483,0.003079
2024-12-15,central_urban,0.077873,0.075243,84057,0.076334,0.001539
2025-01-15,wadi_hanifa,0.102924,0.086102,299330,0.103843,-0.000919
2025-01-15,king_salman_park,0.073994,0.076923,94335,0.070463,0.003531
2025-01-15,northern_expansion,0.079379,0.074922,141932,0.076417,0.002962
2025-01-15,central_urban,0.079329,0.079659,84057,0.082096,-0.002767
2025-02-15,wadi_hanifa,0.103981,0.090519,299330,0.100098,0.003883
2025-02-15,king_salman_park,0.077807,0.080508,94335,0.069971,0.007836
2025-02-15,northern_expansion,0.081158,0.077259,141932,0.074409,0.006749
2025-02-15,central_urban,0.080160,0.079902,84057,0.078746,0.001414
2025-03-15,wadi_hanifa,0.089737,0.063093,299328,0.096022,-0.006285
2025-03-15,king_salman_park,0.059997,0.057481,94334,0.065687,-0.005690
2025-03-15,northern_expansion,0.067693,0.057222,141929,0.071361,-0.003668
2025-03-15,central_urban,0.070564,0.061978,84055,0.076952,-0.006388
2025-04-15,wadi_hanifa,0.088168,0.062486,299330,0.095035,-0.006867
